article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
2397;Anthony Hopkins;Male;1937;Margam;;United Kingdom;Europe;5.157.444;-375.278;Actor;Film And Theatre;Arts;65;16055086;247001;263.167
29684300;Rudolf Hess;Male;1894;Alexandria;;Egypt;Africa;31.2;2.991.667;Politician;Government;Institutions;57;8961742;157224;263.154
236906;Paolo Veronese;Male;1528;Verona;;Italy;Europe;4.543.333;1.098.333;Painter;Fine Arts;Arts;51;1682900;32998;263.141
75097;Caesarion;Male;-47;Other;;Egypt;Africa;26;30;Politician;Government;Institutions;40;2012987;50325;26.314
312698;Cato the Younger;Male;-95;Rome;;Italy;Europe;41.9;12.5;Politician;Government;Institutions;38;1705567;44883;263.131
1057;Anatole France;Male;1844;Paris;;France;Europe;488.567;23.508;Writer;Language;Humanities;70;2192222;31317;263.123
338378;Gaozu of Han;Male;-255;Pei County;;China;Asia;;;Politician;Government;Institutions;29;2544633;87746;263.039
222779;Diogenes Apolloniates;Male;-450;Sozopol;;Bulgaria;Europe;;;Philosopher;Philosophy;Humanities;33;362688;10991;263.012
4865795;Piet Mondrian;Male;1872;Amersfoort;;Netherlands;Europe;52.15;538.333;Painter;Fine Arts;Arts;52;9625053;185097;263.012
50012;Francis I of France;Male;1494;Cognac;;France;Europe;45.7;-0.33;Politician;Government;Institutions;56;5965458;106526;263.004
10672;Frank Zappa;Male;1940;Baltimore;MD;United States;North America;3.928.333;-7.661.667;Musician;Music;Arts;56;14976422;267436;262.929
21269;Nasreddin;Male;1208;Konya;;Turkey;Asia;39.45;3.153.778;Philosopher;Philosophy;Humanities;48;2832489;59010;26.291
631116;Shennong;Male;-3000;Other;;Unknown;Unknown;;;Politician;Government;Institutions;27;970863;35958;262.904
15414;Irenaeus;Male;130;Smyrna;;Turkey;Asia;3.841.861;2.713.917;Religious Figure;Religion;Institutions;43;1713077;39839;262.883
80749;Uthman ibn Affan;Male;579;Mecca;;Saudi Arabia;Asia;2.141.667;3.981.667;Politician;Government;Institutions;56;2739214;48915;262.872
25914;Reinhard Heydrich;Male;1904;Halle;;Germany;Europe;5.148.333;1.196.667;Politician;Government;Institutions;49;8153039;166389;262.872
16103;John Wayne;Male;1907;Winterset;IA;United States;North America;4.133.583;-9.401.389;Actor;Film And Theatre;Arts;75;19285086;257134;26.286
140651;Pyrrho;Male;-360;Elis;;Greece;Europe;317.775;3.485.194;Philosopher;Philosophy;Humanities;38;762709;20071;262.857
